rank,title,detail_url,img_url,rating_num,comment_num,quote
1,肖申克的救赎,https://movie.douban.com/subject/1292052/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg,9.7,2572830人评价,希望让人自由。
2,霸王别姬,https://movie.douban.com/subject/1291546/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg,9.6,1910760人评价,风华绝代。
3,阿甘正传,https://movie.douban.com/subject/1292720/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2372307693.jpg,9.5,1932917人评价,一部美国近现代史。
4,泰坦尼克号,https://movie.douban.com/subject/1292722/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg,9.4,1894451人评价,失去的才是永恒的。 
5,这个杀手不太冷,https://movie.douban.com/subject/1295644/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg,9.4,2089362人评价,怪蜀黍和小萝莉不得不说的故事。
6,美丽人生,https://movie.douban.com/subject/1292063/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg,9.6,1186664人评价,最美的谎言。
7,千与千寻,https://movie.douban.com/subject/1291561/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg,9.4,2013047人评价,最好的宫崎骏，最好的久石让。 
8,辛德勒的名单,https://movie.douban.com/subject/1295124/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg,9.5,990024人评价,拯救一个人，就是拯救整个世界。
9,盗梦空间,https://movie.douban.com/subject/3541415/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg,9.4,1854929人评价,诺兰给了我们一场无法盗取的梦。
10,忠犬八公的故事,https://movie.douban.com/subject/3011091/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2587099240.jpg,9.4,1270789人评价,永远都不能忘记你所爱的人。
11,星际穿越,https://movie.douban.com/subject/1889243/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2614988097.jpg,9.4,1538746人评价,爱是一种力量，让我们超越时空感知它的存在。
12,楚门的世界,https://movie.douban.com/subject/1292064/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg,9.3,1461165人评价,如果再也不能见到你，祝你早安，午安，晚安。
