楼盘名称,开发商名称,是否售空,销售单价,楼盘性质
禹洲泊朗廷,浙江舜鸿房地产开发有限公司,在售,236.89-460万/套,住宅
珺楠府,临安中天房地产开发有限公司,在售,240万/套,住宅
华景川云萃天和城,杭州富阳景莱房地产开发有限公司,在售,170-210万/套,住宅
杭曜之城,杭州融荣房地产开发有限公司,在售,246-344万/套,住宅
华景川湖沁宸园,杭州景科房地产开发有限公司,在售,160-230万/套,住宅
赞成星谷,杭州润庆置业有限公司,在售,100-188万/套,商业类
同协金座,杭州同达置业有限公司,在售,138-210万/套,商业类
蓝城久宸里,浙江久光房地产开发有限公司,在售,1785-3600万/套,商业类
云悦湾,杭州盛寅房地产开发有限公司,在售,130-239万/套,商业类
世茂西溪宸悦,杭州禾睿房地产开发有限公司,在售,220-385万/套,商业类
天目观山月,临安置润房产开发有限公司,在售,63-90万/套,住宅
大华春山明月,浙江大华房地产开发有限公司,在售,540-1020万/套,别墅
云水山居,杭州金宇房地产开发有限公司,在售,240-576万/套,住宅
万科玖望,杭州富阳永通房地产开发有限公司,在售,194万/套,住宅
世茂智慧之门,杭州世茂瑞盈置业有限公司 ,在售,27000元/㎡,写字楼
中铁建国际公馆,中铁房地产集团华东有限公司,在售,140-180万/套,商业类
银杏汇,杭州德城置业有限公司,在售,5500万/套,住宅
复地壹中心,杭州复曼达置业有限公司,在售,127万/套,商业类
宋都阳光国际,浙江东霖房地产开发有限公司,在售,1108-1800万/套,住宅
中港西湖院子,杭州中港绿泰房地产开发有限公司,在售,880-1300万/套,别墅
嘉合未来金座,杭州嘉合置业有限公司,在售,110-120万/套,商业类
奥城望,莱茵达（桐庐）体育发展有限公司,在售,190万/套,住宅
印虹滨府,杭州南光置业有限公司,在售,275-284万/套,住宅
德信金科泊岸江宸轩,杭州德信朝阳置业有限公司,在售,183-232万/套,住宅
绿地潮悦江山城,杭州绿港置业有限公司,在售,245-390万/套,住宅
世京云峯,杭州之江城银房地产开发有限公司,在售,145万/套,商业类
国开东方凤凰台,杭州丽湖房地产开发有限公司,在售,135万/套,底商
众安IOC潮悦公馆（杭州国际办公中心）,恒利企业管理（杭州）有限公司,在售,274-2000万/套,商业类
荣上青云府,杭州荣上房地产有限公司,在售,120-125万/套,住宅
杭房城发润如园,杭州越祥房地产有限公司,在售,394万/套,住宅
新力启云府,杭州力尚房地产开发有限公司,待售,180-312万/套,住宅
碧桂园招商珺悦家园,杭州元玺置业有限公司,在售,125-200万/套,住宅
香里湾,杭州圣域嘉房地产开发有限公司,在售,74-128万/套,住宅
融信旭辉湘湖悦章,杭州融晅房地产开发有限公司,在售,价格待定,底商
杭房首望澜翠府,杭州翠祥房地产有限公司,在售,386-800万/套,别墅
蓝城恒伟江南山庄,浙江恒伟房地产开发有限公司,在售,155-212万/套,住宅
奥城望,莱茵达（桐庐）体育发展有限公司,在售,价格待定,别墅
金宸金座,杭州珑帝置业有限公司,在售,65-95万/套,商业类
越秀归悦里,杭州越嘉房地产开发有限公司,在售,192.24-194.02万/套,住宅
世茂国风大境,杭州临安同人置业有限公司,在售,450-1067.26万/套,别墅
杭州大悦城,浙江和润天成置业有限公司,在售,600万/套,商业
梦溪东明山居,杭州梦溪房地产开发有限公司,在售,1077-1376万/套,别墅
富春玫瑰园,杭州华滋绿城房地产有限公司,在售,840-1800万/套,别墅
金骏大厦,杭州金骏房地产开发有限公司,在售,100万/套,写字楼
九龙仓雍景山,富汇房地产开发（富阳）有限公司 ,在售,267-420万/套,别墅
浅山,淳安怡和置业有限公司,在售,98-190万/套,住宅
滨湖天地,杭州新天地集团有限公司,在售,238-350万/套,住宅
万通中心,杭州万通时尚置业有限公司,在售,497万/套,写字楼
诺德财富中心,浙江正凯置业有限公司,在售,1198万/套,写字楼
钱江浙商创投中心,浙江浙创置业有限公司,在售,320万/套,写字楼
佳源未来府,杭州蓝源置业有限公司,在售,600万/套,商业
钱塘ONE,杭州汇辉置业有限公司,在售,110-520万/套,商业类
众安恒隆广场,浙江众安房地产开发有限公司,在售,228万/套,写字楼
时间名座玺寓,杭州加悦都实业有限公司,在售,80-120万/套,商业类
鼎和金座,杭州禹禾房地产开发有限公司,在售,90-100万/套,商业类
悦青蓝,杭州万胜房地产开发有限公司,待售,价格待定,住宅
公元帝景,杭州帝凯房地产开发有限公司,在售,513-966万/套,别墅
东海闲湖城,杭州东海春房地产开发有限公司,待售,700万/套,别墅
易辰江南大院,杭州易辰房地产开发有限公司,在售,349-361万/套,别墅
文渊狮城,杭州千岛湖新天地文化发展有限公司,在售,503-650万/套,别墅
颐和山庄,杭州青城房地产开发有限公司,在售,195-335万/套,住宅
