jobName,position,company_name,company_size,company_type,salary
大数据分析师助理,吕梁-离石区,北京先烽科技有限公司,20-99人,民营,8千-1.2万
总经理助理（业务方向）,太原-小店,山西万物有声文化科技有限公司,100-299人,民营,4千-8千
商品专员/助理,长春-宽城,特步童装吉林省分公司,10000人以上,民营,3千-6千
会计,长春-宽城,长春市润佳财务代理有限公司,20人以下,民营,2千-4千
副业合伙人,长春-朝阳,吉林长春童谣美际幼儿园有限公司,20-99人,民营,5千-1万
数据分析助理,厦门-集美,厦门精探企业咨询管理有限公司,20-99人,民营,7千-1.4万
数据分析助理,福州-长乐,福建百维科技有限公司,20-99人,民营,5千-7千
数据分析助理,福州-台江,朴朴,10000人以上,民营,4千-6千· 13薪
双休数据分析师助理,厦门,厦门墨韬企业咨询服务有限公司,20-99人,,7千-1.3万
业务助理（数据分析）,宁德-蕉城区,安利（中国）日用品有限公司,1000-9999人,外商独资,6千-8千· 13薪
每天工作5小时底薪5千数据分析员,厦门-集美,厦门中网联科技有限公司,20-99人,民营,9千-1.6万
商品助理,泉州,泉州市古星商贸有限公司,100-299人,民营,4千-6千
数据分析师助理,大连-甘井子,辉云(大连)科技有限公司,20-99人,民营,4千-6千
数据分析师助理,大连-沙河口,大连合鑫网络科技有限公司,20-99人,,4千-7千· 13薪
行政专员（储备主管）—数据分析方向,沈阳-沈河,皓翔网络科技服务,100-299人,其它,4千-5千
数据分析助理,上海-徐汇,上海思勃商务咨询有限公司,20-99人,民营,6千-8千· 13薪
经理助理,大连-金州,万翔未来创新科技(大连)有限公司,20-99人,其它,3千-6千
售后主管,大连-西岗,大连华宏物业管理有限公司,100-299人,民营,8千-1万
数据分析项目助理,上海-静安,上海同界数据科技股份有限公司,20-99人,民营,7千-1.1万
数据分析助理(接受无经验),上海-奉贤,上海峪诚东信息科技有限公司,300-499人,民营,1.2万-1.5万
外企医药公司市场部数据分析助理,上海-浦东,外企德科,1000-9999人,合资,8千-1万· 13薪
CRM数据分析助理经理 (MJ000005),上海-静安,联宇宝姿(厦门)实业有限公司,1000-9999人,外商独资,1.6万-2.3万
