job_name,position,diploma,company_name,company_size,company_type,salary
伊利2023年校招-市场研究培训生（冷饮）,北京,本科,伊利,10000人以上,股份制企业,1万-1.2万
产品工艺开发岗,北京,硕士,国氢科技,1000-9999人,国企,面议
数据分析,北京,本科,中国移动在线营销,1000-9999人,国企,面议
【2023校招】产品经理,北京,本科,高途,1000-9999人,上市公司,2万-2.5万
人力资源启明星,北京,本科,中粮可口可乐,10000人以上,国企,面议
伊利2023年校招-渠道培训生（奶粉）,北京,本科,伊利,10000人以上,股份制企业,1万-1.2万
数据挖掘分析师,北京,硕士,国网信通产业集团,1000-9999人,国企,面议
数据科学家,北京,博士,中国联通,10000人以上,国企,面议
【2023校招】用户运营,北京,本科,高途,1000-9999人,上市公司,1.3万-1.8万
运营管理(J10107),北京,本科,特来电,1000-9999人,股份制企业,面议
电商运营,北京,本科,嘉楠科技,500-999人,民营,面议
人力资源岗,北京,本科,华侨城集团有限公司,10000人以上,国企,面议
人力资源管理岗,北京,本科,中国联通,10000人以上,国企,面议
科研、设计,北京,硕士,中国建研院,10000人以上,国企,面议
【2023校招】产品运营,北京,本科,高途,1000-9999人,上市公司,1.3万-1.8万
项目管理专责,北京,硕士,国网信通产业集团,1000-9999人,国企,面议
大数据分析师（芯片方向）（校招）,北京,本科,嘉楠科技,500-999人,民营,面议
毓秀生-管理达人,全国,硕士,越秀地产,10000人以上,国企,面议
销售数据分析岗,北京,本科,晶澳科技,1000-9999人,其它,面议
投后管理,北京,学历不限,中国联通,10000人以上,国企,面议
运营分析岗,北京,本科,华侨城集团有限公司,10000人以上,国企,面议
数据分析师,北京,硕士,国网信通产业集团,1000-9999人,国企,面议
临床程序员（北京）,北京,硕士,恒瑞医药,10000人以上,民营,面议
产品运营及分析（北京）,北京,本科,中国移动在线营销,1000-9999人,国企,面议
J19170-2023届-能源数字化工程师,北京,硕士,金风科技,10000人以上,民营,面议
管培生（偏商务方向）,北京,本科,京运通,1000-9999人,其它,5千-8千
咨询顾问（数据分析方向）,北京,硕士,国网信通产业集团,1000-9999人,国企,面议
动物研究员,北京,硕士,恒瑞医药,10000人以上,民营,1.1万-1.2万
伊利2023年校招生-渠道培训生（奶粉）,北京,本科,伊利,10000人以上,股份制企业,1万-1.2万
数据分析师-北京,北京,本科,中国移动在线营销,1000-9999人,国企,面议
伊利2023年校招-市场研究培训生（冷饮）,北京,本科,伊利,10000人以上,股份制企业,1万-1.2万
产品工艺开发岗,北京,硕士,国氢科技,1000-9999人,国企,面议
数据分析,北京,本科,中国移动在线营销,1000-9999人,国企,面议
【2023校招】产品经理,北京,本科,高途,1000-9999人,上市公司,2万-2.5万
人力资源启明星,北京,本科,中粮可口可乐,10000人以上,国企,面议
伊利2023年校招-渠道培训生（奶粉）,北京,本科,伊利,10000人以上,股份制企业,1万-1.2万
数据挖掘分析师,北京,硕士,国网信通产业集团,1000-9999人,国企,面议
数据科学家,北京,博士,中国联通,10000人以上,国企,面议
【2023校招】用户运营,北京,本科,高途,1000-9999人,上市公司,1.3万-1.8万
运营管理(J10107),北京,本科,特来电,1000-9999人,股份制企业,面议
电商运营,北京,本科,嘉楠科技,500-999人,民营,面议
人力资源岗,北京,本科,华侨城集团有限公司,10000人以上,国企,面议
人力资源管理岗,北京,本科,中国联通,10000人以上,国企,面议
科研、设计,北京,硕士,中国建研院,10000人以上,国企,面议
【2023校招】产品运营,北京,本科,高途,1000-9999人,上市公司,1.3万-1.8万
项目管理专责,北京,硕士,国网信通产业集团,1000-9999人,国企,面议
大数据分析师（芯片方向）（校招）,北京,本科,嘉楠科技,500-999人,民营,面议
毓秀生-管理达人,全国,硕士,越秀地产,10000人以上,国企,面议
销售数据分析岗,北京,本科,晶澳科技,1000-9999人,其它,面议
投后管理,北京,学历不限,中国联通,10000人以上,国企,面议
运营分析岗,北京,本科,华侨城集团有限公司,10000人以上,国企,面议
数据分析师,北京,硕士,国网信通产业集团,1000-9999人,国企,面议
临床程序员（北京）,北京,硕士,恒瑞医药,10000人以上,民营,面议
产品运营及分析（北京）,北京,本科,中国移动在线营销,1000-9999人,国企,面议
J19170-2023届-能源数字化工程师,北京,硕士,金风科技,10000人以上,民营,面议
管培生（偏商务方向）,北京,本科,京运通,1000-9999人,其它,5千-8千
咨询顾问（数据分析方向）,北京,硕士,国网信通产业集团,1000-9999人,国企,面议
动物研究员,北京,硕士,恒瑞医药,10000人以上,民营,1.1万-1.2万
伊利2023年校招生-渠道培训生（奶粉）,北京,本科,伊利,10000人以上,股份制企业,1万-1.2万
