jobName,position,company_name,company_size,company_type,salary
置业顾问+数据分析+法律咨询+客户代表,上海,上海链家地产,10000人以上 ,民营 ,8千-1.5万
管培生+底薪8k+数据分析+带薪培训,上海-静安,德佑房地产经纪有限公司第一千一百九十五分公司,10000人以上 ,民营 ,1.5万-3万
数据分析主管-上海,上海-浦东,南昌传发金融信息服务有限公司,1000-9999人 ,民营 ,1.5万-2.5万
监控数据分析员（可提供住宿）,上海,宝星智能科技(上海)有限公司,300-499人 ,民营 ,4千-6千
研究经理（大数据分析项目）,上海-静安,上海飞观信息科技有限公司,100-299人 ,民营 ,1.5万-2.5万
销售顾问＋数据分析+资产管理专家,上海-宝山,上海链家地产,10000人以上 ,民营 ,8千-1.4万
数据分析+底薪8K+住宿+带薪培训+国内旅游,上海-静安,德佑房地产经纪有限公司第一千一百九十五分公司,10000人以上 ,民营 ,1.5万-3万
贝壳市场经理+ 双网运营+大数据分析+VR看房+保障薪8000+管培生/领航家/应届生,上海-闵行,德佑房地产经纪有限公司第八百四十九分公司, , ,5千-9千
证券交易数据分析（外派光大证券）,上海-静安,上海启明软件股份有限公司,300-499人 ,股份制企业 ,1.5万-1.9万
合规高级经理，三方管理及数据分析,上海-静安,上海博源资产管理有限公司,100-299人 ,其它 ,3.5万-6万
1实习月薪8K起+置业数据分析+住宿方案+上市企业闵行,上海-闵行,上海链家地产,10000人以上 ,民营 ,8千-1.6万
贝壳市场经理+ 双网运营+大数据分析+VR看房+保障薪8000+管培生/领航家/应届生,上海-普陀,德佑房地产经纪有限公司第八百四十九分公司, , ,5千-9千
市场运营+产品运营+数据分析——1,上海-徐汇,上海链家地产,10000人以上 ,民营 ,1.7万-1.8万
o2o形式+95后年轻团队+专业顾问，数据分析,上海-黄浦,上海链家地产,10000人以上 ,民营 ,8千-1.5万
国民链家+市场数据分析＋管培生底薪8000,上海-杨浦,上海链家地产,10000人以上 ,民营 ,9千-1.7万
销售运营 —专业分析--数据分析,上海-闵行,上海链家地产,10000人以上 ,民营 ,8千-1.6万
销售顾问＋数据分析+资产管理专家,上海-松江,上海链家地产,10000人以上 ,民营 ,8千-1.6万
上市公司+房产管培生+运营经理+数据分析——1,上海-徐汇,上海链家地产,10000人以上 ,民营 ,8千-1.6万
VR互联网房产销售/就近安排/月薪10K起 用户运营数据分析,上海,上海链家地产,10000人以上 ,民营 ,1万-2万
上市公司+房产管培生+运营经理+数据分析——2,上海-徐汇,上海链家地产,10000人以上 ,民营 ,8千-1.6万
上海贝壳集团总部直聘数据分析专员+营销管培生+保障薪资8k+20%-70%提成,上海-黄浦,上海链家地产,10000人以上 ,民营 ,8千-1.3万
客户经理，数据分析+上市公司，文化氛围好+完善体制,上海-闵行,上海链家地产,10000人以上 ,民营 ,8千-1.5万
500强企业“贝壳找房”管理培训生+22-23届本科优先+数据分析专业优先,上海-黄浦,上海链家地产,10000人以上 ,民营 ,8千-1.5万
市场运营+产品运营+数据分析——3,上海-徐汇,上海链家地产,10000人以上 ,民营 ,1.7万-1.8万
贝壳科技管培生-住宿方案 保障8K+置业顾问 数据分析运营,上海-闵行,上海链家地产,10000人以上 ,民营 ,8千-1.6万
管培生房地产-提供住宿方案-数据分析运营-8K起,上海-闵行,上海链家地产,10000人以上 ,民营 ,8千-1.6万
保障年薪10万起 互联网 数据分析 五险一金 大平台+置业顾问,上海-浦东,上海链家地产,10000人以上 ,民营 ,8千-1.5万
500强上市公司 数据分析 运营管理培训生,上海-静安,上海链家地产,10000人以上 ,民营 ,1.1万-1.8万
上海贝壳集团直聘销售精英，保障8k+20%-70%提成，互联网+模式，数据分析能力优先,上海-黄浦,上海链家地产,10000人以上 ,民营 ,8千-1.3万
500强上市公司 数据分析 运营管理培训生,上海-松江,上海链家地产,10000人以上 ,民营 ,1.1万-1.8万
知名日企电商数据分析员-英语4964,上海-长宁,上海霓索人力资源服务有限公司,20人以下 ,合资 ,1.1万-1.6万
大数据开发-数据分析-核心岗位-口语面试-央企-不加班,上海-徐汇,中电金信软件有限公司,10000人以上 ,国企 ,1.9万-3.5万
快递数据分析员,上海,中通快递,10000人以上 ,股份制企业 ,5千-7千
数据分析经理-上海,上海-浦东,南昌传发金融信息服务有限公司,1000-9999人 ,民营 ,2万-3万
数据分析建模-浦东,上海-浦东,上海复深蓝软件股份有限公司,1000-9999人 ,上市公司 ,1.8万-3万
1实习月薪8K起+置业数据分析+住宿方案+上市企业闵行,上海-松江,上海链家地产,10000人以上 ,民营 ,8千-1.1万
芯片产品工程师-数据分析,上海-浦东,超威半导体(上海)有限公司,10000人以上 ,外商独资 ,2万-4万
数据分析与应用岗G01847,上海-青浦,东浩人力资源,100-299人 ,国企 ,1.2万-1.4万
数据分析与测试工程师,上海-杨浦,江苏金智锐智能科技有限公司,300-499人 ,民营 ,1万-1.5万
大气污染防治分析工程师（数据分析）,上海-静安,无锡中科光电技术有限公司,1000-9999人 ,上市公司 ,6千-1万
上市公司+管培生+运营经理+数据分析——2,上海-徐汇,上海链家地产,10000人以上 ,民营 ,8千-1.6万
数据分析（做过反洗钱和了解前端技术优先）,上海-静安,上海启明软件股份有限公司,300-499人 ,股份制企业 ,1.6万-1.9万
平台大数据分析工程师,上海-徐汇,上海市建筑科学研究院有限公司,500-999人 ,国企 ,8千-1.2万
病理数据分析员,上海-徐汇,云准医药科技(上海)有限公司,20-99人 ,民营 ,1万-1.2万
客户关怀员工（数据分析方向）,上海,交银企业管理服务(上海)有限公司张江高科技园区分公司,1000-9999人 ,国企 ,5千-8千
上市公司+管培生+运营经理+数据分析——1,上海-徐汇,上海链家地产,10000人以上 ,民营 ,8千-1.6万
