序号,开课学期,课程编号,课程名称,分组名,成绩,成绩标识,学分,总学时,绩点,补重学期,考核方式,考试性质,课程属性,课程性质,课程类别
1,2020-2021-2,B0410074,基础外语AIV,,81,,4,64,,,考试,正常考试,必修,人文社科课,
2,2020-2021-2,B0430014,体育IV,羽毛球,85,,2,32,,,考试,正常考试,必修,人文社科课,
3,2020-2021-2,B051003,概率论与数理统计,,90,,3,48,,,考试,正常考试,必修,数学自然课,
4,2020-2021-2,B051012,数学软件与数学实验,,69,,1.5,24,,,考试,正常考试,必修,数学自然课,
5,2020-2021-2,B0510242,大学物理实验II,,83,,1.5,24,,,考试,正常考试,必修,数学自然课,
6,2020-2021-2,B0520102,毛泽东思想和中国特色社会主义理论体系概论II,,68,,2,32,,,考试,正常考试,必修,人文社科课,
7,2020-2021-2,B053076,数字电路与数字逻辑实验,,82,,1,16,,,考试,正常考试,必修,学科基础课,
8,2020-2021-2,B053081,计算机组成原理,,78,,3,48,,,考试,正常考试,必修,学科基础课,
9,2020-2021-2,B053082,计算机组成原理实验,,85,,1,16,,,考试,正常考试,必修,学科基础课,
10,2020-2021-2,B053123,计算机网络A,,76,,3.5,56,,,考试,正常考试,必修,专业必修课,
11,2020-2021-2,S053047,认识实习,,85,,3,48,,,考试,正常考试,必修,实践教学课,
12,2020-2021-2,X053142,数据库应用,,86,,2,32,,,考试,正常考试,限选,专业选修课,
