序号,开课学期,课程编号,课程名称,开课单位,学分,总学时,考核方式,课程性质,课程属性,是否考试
1,2019-2020-1,B0280011,大学生职业发展与就业指导I,公共教学部,1,16,考试,人文社科课,必修,是
2,2019-2020-1,B0410071,基础外语AI,外语系,4,64,考试,人文社科课,必修,是
3,2019-2020-1,B0430011,体育I,体育部,2,32,考试,人文社科课,必修,是
4,2019-2020-1,B0510061,高等数学AI,基础部,6,96,考试,数学自然课,必修,是
5,2019-2020-1,B052001,思想道德修养与法律基础,思想政治部,3,48,考试,人文社科课,必修,是
6,2019-2020-1,B052006,军事理论,公共教学部,2,32,考试,人文社科课,必修,是
7,2019-2020-1,B053013,大学计算机基础A,信息工程系,3,48,考试,数学自然课,必修,是
8,2019-2020-1,B053028,计算机导论,信息工程系,1,16,考试,专业必修课,必修,是
9,2019-2020-1,B053095,程序设计基础I,信息工程系,2,32,考试,学科基础课,必修,是
10,2019-2020-2,B0240012,形势与政策II,思想政治部,0,2,考试,人文社科课,必修,是
11,2019-2020-2,B0410072,基础外语AII,外语系,4,64,考试,人文社科课,必修,是
12,2019-2020-2,B0430012,体育II,体育部,2,32,考试,人文社科课,必修,是
13,2019-2020-2,B0510011,大学物理I,基础部,3,48,考试,数学自然课,必修,是
14,2019-2020-2,B0510062,高等数学AII,基础部,6,96,考试,数学自然课,必修,是
15,2019-2020-2,B052005,大学生心理健康,公共教学部,1,16,考试,人文社科课,必修,是
16,2019-2020-2,B052011,中国近现代史纲要,思想政治部,2,32,考试,人文社科课,必修,是
17,2019-2020-2,B053098,程序设计基础II,信息工程系,3.5,56,考试,学科基础课,必修,是
18,2019-2020-2,B053118,电路与电子技术B,信息工程系,3.5,56,考试,学科基础课,必修,是
19,2019-2020-2,B053125,离散数学,信息工程系,2.5,40,考试,学科基础课,必修,是
20,2019-2020-2,S052001,思想政治理论课实践,思想政治部,2,32,答辩,实践教学课,必修,是
21,2019-2020-2,S053042,程序设计实践,信息工程系,2,32,考试,实践教学课,必修,是
22,2020-2021-1,B0240013,形势与政策III,思想政治部,0,2,考试,人文社科课,必修,是
23,2020-2021-1,B0410073,基础外语AIII,外语系,4,64,考试,人文社科课,必修,是
24,2020-2021-1,B0430013,体育III,体育部,2,32,考试,人文社科课,必修,是
25,2020-2021-1,B0510012,大学物理II,基础部,2,32,考试,数学自然课,必修,是
26,2020-2021-1,B051017,线性代数,基础部,3,48,考试,数学自然课,必修,是
27,2020-2021-1,B0510241,大学物理实验I,基础部,1.5,24,考试,数学自然课,必修,是
28,2020-2021-1,B0520101,毛泽东思想和中国特色社会主义理论体系概论I,思想政治部,2,32,考试,人文社科课,必修,是
29,2020-2021-1,B053059,数字电路与数字逻辑,信息工程系,3,48,考试,学科基础课,必修,是
