电影名,评分
肖申克的救赎（1994）,9.3
蝙蝠侠：黑暗骑士（2008）,9
搏击俱乐部（1999）,8.8
低俗小说（1994）,8.9
阿甘正传（1994）,8.8
黑客帝国（1999）,8.7
指环王1：护戒使者（2001）,9
指环王3：王者无敌（2003）,9.2
教父（1972）,9.2
蝙蝠侠：黑暗骑士崛起（2012）,8.4
指环王2：双塔奇兵（2002）,9.1
星际穿越（2014）,8.6
阳光普照（2019）,7.7
七宗罪（1995）,8.6
被解救的姜戈（2012）,8.4
角斗士（2000）,8.5
蝙蝠侠：侠影之谜（2005）,8.2
复仇者联盟（2012）,8
沉默的羔羊（1991）,8.6
无耻混蛋（2009）,8.3
星球大战（1977）,8.6
拯救大兵瑞恩（1998）,8.6
辛德勒的名单（1993）,8.9
无间道风云（2006）,8.5
致命魔术（2006）,8.5
星球大战2：帝国反击战（1980）,8.7
华尔街之狼（2013）,8.2
阿凡达（2009）,8.7
绿里奇迹（1999）,8.6
记忆碎片（2000）,8.4
教父2（1974）,9
禁闭岛（2010）,8.1
美国丽人（1999）,8.3
泰坦尼克号（1997）,7.8
美国X档案（1998）,8.5
加勒比海盗（2003）,8
V字仇杀队（2006）,8.2
回到未来（1985）,8.5
这个杀手不太冷（1994）,8.5
好家伙（1990）,8.7
终结者2：审判日（1991）,8.5
杀死比尔（2003）,8.1
机器人总动员（2008）,8.4
非常嫌疑犯（1995）,8.5
勇敢的心（1995）,8.3
海底总动员（2003）,8.1
星球大战3：绝地归来（1983）,8.3
钢铁侠（2008）,7.9
狮子王（1994）,8.5
楚门的世界（1998）,8.1
第六感（1999）,8.1
星际探索（2019）,6.6
落水狗（1992）,8.3
飞越疯人院（1975）,8.7
暖暖内含光（2004）,8.3
夺宝奇兵（1981）,8.4
玩具总动员（1995）,8.3
星球大战7：原力觉醒（2015）,7.9
闪灵（1980）,8.4
侏罗纪公园（1993）,8.1
消失的爱人（2014）,8.1
心灵捕手（1997）,8.3
美丽心灵（2002）,8.2
老无所依（2007）,8.1
怪兽电力公司（2001）,8
贫民窟的百万富翁（2008）,8
终结者（1984）,8
绝地逃亡（2016）,5.7
猫鼠游戏（2002）,8.1
22英里（2018）,6.1
虎胆龙威（1988）,8.2
小丑（2019）,8.5
偷拐抢骗（2000）,8.3
大黄蜂（2018）,6.8
异形（1979）,8.4
霍比特人1：意外之旅（2012）,7.8
