音乐名,链接
01.孤勇者 ,https://www.9ku.com//play/1234703.htm
02.可可托海的牧羊人 ,https://www.9ku.com//play/1004523.htm
03.听闻远方有你 ,https://www.9ku.com//play/1219032.htm
04.踏雪 ,https://www.9ku.com//play/1379392.htm
05.听闻远方有你 ,https://www.9ku.com//play/1097049.htm
06.这世界那么多人 ,https://www.9ku.com//play/1191283.htm
07.下潜 ,https://www.9ku.com//play/1235568.htm
08.如愿 ,https://www.9ku.com//play/1218832.htm
09.海底 ,https://www.9ku.com//play/1004197.htm
10.晚风 ,https://www.9ku.com//play/1004373.htm
11.水星记 ,https://www.9ku.com//play/1010051.htm
12.半生雪 (学生改编版片段) ,https://www.9ku.com//play/1234808.htm
13.我看过 ,https://www.9ku.com//play/1006581.htm
14.删了吧 ,https://www.9ku.com//play/1234749.htm
15.就忘了吧 ,https://www.9ku.com//play/1386245.htm
16.纵容 ,https://www.9ku.com//play/1048989.htm
17.渐暖 ,https://www.9ku.com//play/1379761.htm
18.哥已不再是当年的哥 (DJ何鹏版) ,https://www.9ku.com//play/1376491.htm
19.要你管 ,https://www.9ku.com//play/1012725.htm
20.red lips ,https://www.9ku.com//play/1006066.htm
21.听我说 ,https://www.9ku.com//play/1196644.htm
22.可惜我们 ,https://www.9ku.com//play/1387545.htm
23.在阳光下等你 ,https://www.9ku.com//play/1387625.htm
24.哥已不再是当年的哥原唱完整版 ,https://www.9ku.com//play/1387281.htm
25.哥已不再是当年的哥原唱完整版 ,https://www.9ku.com//play/1387281.htm
26.Intentionally ,https://www.9ku.com//play/1064817.htm
27.月亮月亮你别走 ,https://www.9ku.com//play/1013603.htm
28.Twinkle Twinkle (晚安 明天见) ,https://www.9ku.com//play/1379757.htm
29.少年美 ,https://www.9ku.com//play/1142468.htm
30.还没有爱够 ,https://www.9ku.com//play/1385536.htm
31.致你 ,https://www.9ku.com//play/1217833.htm
32.作酒 ,https://www.9ku.com//play/1378638.htm
33.陨落 ,https://www.9ku.com//play/1171238.htm
34. 马 ,https://www.9ku.com//play/1007665.htm
35.予你 ,https://www.9ku.com//play/1235525.htm
36.感谢所有爱我的人 ,https://www.9ku.com//play/1012441.htm
37.唱首歌送给妈 ,https://www.9ku.com//play/1004430.htm
38.如风吹过 ,https://www.9ku.com//play/1379528.htm
39.唱给未来的自己 ,https://www.9ku.com//play/1379530.htm
40.江湖大北京 ,https://www.9ku.com//play/1379529.htm
41.我是如此相信 ,https://www.9ku.com//play/1010350.htm
42.祝你新年快乐 ,https://www.9ku.com//play/1379525.htm
43.你像三月桃花开 ,https://www.9ku.com//play/1010129.htm
44.孤勇者 ,https://www.9ku.com//play/1377591.htm
45.给你我的爱 ,https://www.9ku.com//play/1383885.htm
46.如故 ,https://www.9ku.com//play/1217858.htm
47.想你的时候问月亮 ,https://www.9ku.com//play/1052376.htm
48.mojito ,https://www.9ku.com//play/1010008.htm
49.飞鸟和蝉 ,https://www.9ku.com//play/1006548.htm
50.别知己 ,https://www.9ku.com//play/1010006.htm
51.一路生花 ,https://www.9ku.com//play/1219189.htm
52.太想念 ,https://www.9ku.com//play/1387660.htm
53.不能说的秘密 ,https://www.9ku.com//play/1170396.htm
54.妹妹你是我的人 ,https://www.9ku.com//play/1010085.htm
55.燕无歇 ,https://www.9ku.com//play/1010944.htm
56.等你三千年 ,https://www.9ku.com//play/1010261.htm
57.龙拳 (Live) ,https://www.9ku.com//play/1022474.htm
58.如果爱还在 ,https://www.9ku.com//play/1182638.htm
59.你从未离去 (完整版) ,https://www.9ku.com//play/1379804.htm
60.烟花易冷（钢琴版） ,https://www.9ku.com//play/1088681.htm
61.我怕来者不是你 ,https://www.9ku.com//play/1218867.htm
62.能不能给我一首歌的时间 ,https://www.9ku.com//play/1012390.htm
63.三生石下 ,https://www.9ku.com//play/1012191.htm
64.一路向北周杰伦 ,https://www.9ku.com//play/1010489.htm
65.说好的幸福呢＋淘汰＋青花瓷 ,https://www.9ku.com//play/1054978.htm
66.人世间 ,https://www.9ku.com//play/1379810.htm
67.总以为来日方长 ,https://www.9ku.com//play/1387661.htm
68.昭华情 ,https://www.9ku.com//play/1370523.htm
69.踏山河 ,https://www.9ku.com//play/1012453.htm
70.安静周杰伦 ,https://www.9ku.com//play/1012317.htm
71.鸿雁 ,https://www.9ku.com//play/1208554.htm
72.父亲 ,https://www.9ku.com//play/1020155.htm
73.夜夜夜漫长 ,https://www.9ku.com//play/1015906.htm
