歌曲,歌手
蝴蝶泉边（吉他版）,Bell玲惠
The Girl From Ipanema: The Antonio Carlos Jobim Songbook,Stan Getz/João Gilberto
想自由,徐秉龙
走快的秒针,刘大拿
Truthfully,A1 TRIP/Dobi
玫瑰少年,WiFi歪歪
我们都无法成为大人,桃德李Todd Li
真的没喝多,B2$/KOALA
แค่เธอ - Why Don't You Stay (From KinnPorsche The Series),Jeff Satur
你的天空,那奇沃夫/阿达娃
孤独的船,王乐蔚
篇章,张韶涵/王赫野
明天会营业,CJ 周密
be,elena/lookingboy
So Far Away,Martin Garrix/David Guetta/Jamie Scott/Romy Dya
Swing Swang Swung,Swing
Certified Lover Boy,Drake/Lil Baby
想了你６次,王ADEN
投递心事,李佩玲
LINK,黄丽玲
像你在的时候一样,21st Century Schizoid Man
声声慢,陈艺鹏
失眠症候群,颜人中
Cure For Me,AURORA
Fool For You,KASTRA
再见不打扰,L（桃籽）
Superman,曹格
日全蚀 演唱会现场实录,徐佳莹
Cooped Up,Post Malone/Roddy Ricch
账号已注销,太一
拾,张杰
樱花树下的约定,就是南方凯（项学凯）
陈奕迅 国语精选,陈奕迅
A-Lin原声带,黄丽玲
听听听,王天戈
游歌,丢火车
无人处,林宝馨
开不了口,高旭
半夜汽笛,叶琼琳
来生,金南玲
异地恋,Aioz/Sunny Lukas/OuttaWave
空白印象,黄星瑞RA
Freaky Deaky,Tyga/Doja Cat
Charlotte,Charlotte Lawrence
Pushing 21,Liv Dawson
STAY,The Kid LAROI/Justin Bieber
Dawn FM,The Weeknd
忘记时间,Chanlex
Too Young,Maximillian
曾经喜欢我,mok/热水澡
后来,真名有雪
英皇 七十周年音乐强阵专辑,王杰
Certified Lover Boy,Drake
Certified Lover Boy,Drake
知足 最真杰作选,五月天
为歌而赞第二季 第4期,张含韵
何官锭AL「2006年-2012年」ＤＥＭＯ原创,何官锭AL
转折点（JinJiBeWater Remix）,JinJiBeWater_隼/斑比Bambii
半生出走,胡彦斌
Touch Mi 郑秀文世界巡回演唱会,郑秀文
Chosen,Måneskin
天空多灰,張子铭
局外人,赵天宇
滕爱Teng Love,徐誉滕
歌手·当打之年 第5期,黄霄雲
Bored,Torine
Planet Her,Doja Cat
Lion,Hearts & Colors
Afterglow,Leroy Sanchez
暴雨,TOYOKI/mac ova seas
Jiggle Jiggle,Duke & Jones/Louis Theroux
史纲要加油,小高天天想peach
Motion,DVRST
感官先生,刘凤瑶
One Right Now,Post Malone/The Weeknd
在他乡,程响
3,林奕匡
孤陋寡闻,程响
留声纪,丁芙妮
太想念,菲儿
Peter Pan Was Right,Anson Seabra
爱止痛（斑比Bambii Remix）,斑比Bambii/JinJiBeWater_隼
INDUSTRY BABY,Lil Nas X/Jack Harlow
手心,刘梓炎
日落海岸线,浪旅LongTravel
8 Letters,Why Don't We
What About,Blaxian
有形的翅膀,张韶涵
春泥,张家旺/悦开心i
寻雾启示,许嵩
Live a Life EP,炎亚纶
属于自己,张玉华
月亮它睡我不睡,何村猪
良辰好景知几何 电视剧原声带,金润吉
Grace & Charm,陈慧琳
Walmart Soundcheck Concert (Live),Selena Gomez
初学者,薛之谦
悲伤游乐园,悲伤玩具
可否轻轻讲我知,YL同学
你听,苏星婕/Lil Tzy刘踢几
