岗位标题,地区,薪资,公司名称
Python Developement Engineer,广州·天河区·天河北,30-60K,渣打环球商业(广州)
Python,广州·黄埔区·科学城,10-15K,渣打环球商业(广州)
Python,广州·海珠区·琶洲,14-20K·13薪,渣打环球商业(广州)
Python,广州,11-18K,渣打环球商业(广州)
Python,广州·天河区·员村,6-11K,渣打环球商业(广州)
RPA工程师（Python）,广州·天河区·珠江新城,10-15K·15薪,渣打环球商业(广州)
Python工程师,广州·番禺区·番禺广场,10-15K,渣打环球商业(广州)
高级后台python开发,广州·番禺区·大学城,20-30K·14薪,渣打环球商业(广州)
python开发实习生,广州·天河区·车陂,150-200元/天,渣打环球商业(广州)
python后端开发,广州,15-18K,渣打环球商业(广州)
Python开发工程师,广州·黄埔区·科学城,14-25K·14薪,渣打环球商业(广州)
python开发工程师,广州·天河区·珠江新城,7-12K,渣打环球商业(广州)
Python编程老师,广州·天河区·龙洞,8-13K,渣打环球商业(广州)
高级Python开发工程师,广州·天河区·小新塘,15-20K,渣打环球商业(广州)
Python数据专员（实习生）,广州·天河区·珠江新城,110-160元/天,渣打环球商业(广州)
Python开发工程师,广州·天河区·珠江新城,10-15K,渣打环球商业(广州)
python（双休+大平台）,广州·天河区·珠江新城,12-17K·14薪,渣打环球商业(广州)
Python开发工程师,广州,11-20K·14薪,渣打环球商业(广州)
Python爬虫工程师（双休）,广州·黄埔区·萝岗高德汇,10-14K·13薪,渣打环球商业(广州)
Python爬虫实习生,广州·海珠区·琶洲,100-200元/天,渣打环球商业(广州)
高级python开发工程师,广州·天河区·小新塘,18-30K,渣打环球商业(广州)
Python开发-异地招聘（东莞/南京/西安）,广州·天河区·天河北,15-30K,渣打环球商业(广州)
python老师/少儿编程/培训齐全,广州·天河区·猎德,12-15K,渣打环球商业(广州)
服务端开发工程师（python）,广州,18-35K·16薪,渣打环球商业(广州)
python自动化网络运维工程师,广州·天河区·跑马场,18-22K,渣打环球商业(广州)
Python开发工程师（双休不加班）,广州·天河区·员村,18-25K,渣打环球商业(广州)
Python开发（福利好+学信网）,广州·天河区·天河北,11-17K,渣打环球商业(广州)
Python运维工程师,广州·天河区·猎德,8-12K,渣打环球商业(广州)
Python高级开发工程师,广州·番禺区·长隆,30-60K·16薪,渣打环球商业(广州)
高级后端开发工程师（Python）,广州·番禺区·长隆,18-25K,渣打环球商业(广州)
