评论人,评论信息,评论时间,点赞量
吧唧小鈴_,原来好多人的故事都是从初二开始的。,2020年10月28日,17541
super_ye1988,幸好有江苏卫视，不然自己就错过这么好听的歌曲了。一直觉得现在的流行歌曲已经不好听了，可这首歌曲却完全唱到即将30的我的心里去了。想起JJ以前的歌曲，也是陪伴了我整个青春啊。,2016年1月2日,9108
peanutszeus,我大jj现场真心强大,2016年1月2日,8907
无锡朴彩英,“未满18岁的爱情基本上不会有结果.”,2020年8月10日,6936
3di50n,live 之王 我服,2016年1月2日,6581
壹贰零壹啊,“我多希望在某一个晚上或凌晨，你也会给我发一段长长的信息，告诉我这些日子你也从来没有忘记我，你也很想我”,2020年12月19日,5615
HvemiJ5,后来就已经分不清对他到底是喜欢还是执念了,2020年10月8日,4497
再也不捡你的青红皂白,周董淡出娱乐圈后，也就林俊杰撑着华语乐坛了,2016年1月7日,4116
在爱吗-,"如果有一个男孩对我长篇大论道歉,一遍一遍打电话过来,语音那头哭出声,即使我在失望,我也愿意在给他一次机会。",2020年9月1日,3937
3377柒,最喜欢这首歌从1分45秒到2分08秒的那段伴奏。不知为什么,2020年4月15日,3653
小陈_beauty,"""后来 和你有点像的人 我都会多看上几眼”",2020年10月4日,3441
害羞到捂脸,少听晚上的垃圾 爱情观。你的男孩在用自己的方式爱你。,2020年10月14日,3358
1你也会难过吗,我还是那个一听可惜没如果就会哭的女孩,2021年1月3日,3201
PANQIXUE,十几岁的爱情不会有结果.,2021年7月3日,3147
那片海-h,许多错过都是嘴硬造成的,2020年12月6日,3056
GissH9,你说你下辈子要好好对我，可你有没有想过你上辈子说这辈子要好好对我，你有没有想过这辈子的相遇是我上辈子磕头求来的.,昨天23:53,1
GissH9,你硬是要错过我，我有什么办法.,昨天23:51,
GissH9,我用了75天还没能释怀,昨天23:49,
GissH9,短短的44天,昨天23:48,
GissH9,小少爷75天了,昨天23:48,
一起看還_,我累了没意思不想再这样下去了,昨天23:48,
等江的枝枝,环 好久不见了。,昨天23:24,
路人甲_YS,讨厌异地恋,昨天23:18,
潇洒牛马yyds,"假如没把一切说破,那一场风波应该能一笑带过吧.",昨天23:18,1
kkknt,她的最后个字也是凤,昨天23:12,
张国荣是救赎,会过去的，一切都会过去的,昨天23:04,
爱画在雪地,如果呢 如果是什么,昨天23:03,1
鱼尤鱼o,打,昨天23:03,
想吃饭O,好好的一个人的人生那么长肯定会有让你值得去好好活下去的希望的慢慢来吧陌生人,昨天22:49,1
爱在大雾中消失了,后悔认识我吗，如果没有分开我们在一起139天了，可是呐我们已经分开一个月了，我现在每天都会想起你，很想你，想找你复合可又害怕，我马上就要中考了，不知道会不会考上，心情很复杂，现在只想见你一面，让我再看看你的样子，没能在一起真的很遗憾，但我不会打扰你，我会把这份爱留在心里。,昨天22:34,1
牛奶罐头-,别想了，活在过去不如向前看,昨天22:31,
爱在大雾中消失了,交给时间吧 我很困 要睡觉啦。,昨天22:30,1
六-月-吻,表面看着我很乐观不是吗 可你不知道我偷偷掉过多少眼泪,昨天22:20,1
你是我不可或缺的梦,上次见你是在KTV里，你刚好走进来和别的同学寒暄，但打碎了我所有的镇定，10年的暗恋很美好，但也该结束了。希望下次听到你的名字，是在某个女孩的微笑里。,昨天22:20,1
六-月-吻,没办法我没有一哭他就心疼我的命.,昨天22:20,1
