title,region,block,community,area,toward,type,rent,time
整租·人民新村社区 2室1厅 东/西,芙蓉区,火车站,人民新村社区,59.81㎡,东 西,2室1厅1卫 高楼层（6层）,1500元/月,10天前维护
整租·山水印象 3室2厅 东南,天心区,暮云,山水印象,118.00㎡,东南,3室2厅2卫 中楼层（9层）,1600元/月,7天前维护
整租·上海城 3室2厅 南/北,雨花区,韶山南路,上海城,114.87㎡,南 北,3室2厅2卫 高楼层（33层）,2800元/月,2天前维护
合租·朝阳欣园 4居室 南卧,雨花区,桂花村,朝阳欣园,22.00㎡,南,4室1厅2卫 高楼层（9层）,1150元/月,15天前维护
整租·农科家园 1室1厅 南,芙蓉区,马王堆,农科家园,30.00㎡,南,1室1厅1卫 高楼层（6层）,1740元/月,7天前维护
整租·保利国际广场 1室1厅 南,天心区,书院路,保利国际广场,46.00㎡,南,1室1厅1卫 中楼层（51层）,3000元/月,8天前维护
整租·香颂国际 1室1厅 北,雨花区,韶山南路,香颂国际,43.00㎡,北,1室1厅1卫 高楼层（30层）,1600元/月,13天前维护
整租·通号岭绣苑 4室2厅 南,岳麓区,望城区,通号岭绣苑,122.00㎡,南,4室2厅2卫 低楼层（28层）,2700元/月,2天前维护
整租·长沙有色冶金设计院 3室1厅 南,芙蓉区,浏城桥,长沙有色冶金设计院,77.00㎡,南,3室1厅1卫 高楼层（6层）,2400元/月,10天前维护
整租·卓越浅水湾 1室1厅 西南,岳麓区,梅溪湖南岸,卓越浅水湾,35.00㎡,西南,1室1厅1卫 高楼层（45层）,2300元/月,1天前维护
整租·合能雨花公馆 1室1厅 东南,雨花区,武广新城,合能雨花公馆,30.00㎡,东南,1室1厅1卫 中楼层（26层）,1400元/月,3天前维护
整租·嘉顿新天地 1室1厅 南,天心区,五一广场,嘉顿新天地,56.00㎡,南,1室1厅1卫 高楼层（27层）,2680元/月,2天前维护
整租·阳光城檀悦 1室1厅 东南,开福区,松桂园,阳光城檀悦,43.00㎡,东南,1室1厅1卫 低楼层（34层）,2998元/月,1天前维护
整租·启迪协信中心 2室1厅 东,岳麓区,观沙岭,启迪协信中心,66.00㎡,东,2室1厅1卫 低楼层（43层）,3200元/月,7天前维护
合租·芙蓉区教师村 4居室 南卧,芙蓉区,德政园,芙蓉区教师村,22.00㎡,南,4室1厅1卫 高楼层（7层）,900元/月,11天前维护
整租·金茂梅溪湖 4室2厅 南/北,岳麓区,梅溪湖南岸,金茂梅溪湖,133.60㎡,南 北,4室2厅2卫 高楼层（32层）,9000元/月,3天前维护
