城市,最低气温
上海,16°C
闵行,15°C
宝山,14°C
黄浦,16°C
嘉定,14°C
浦东新区,13°C
金山,13°C
青浦,14°C
松江,15°C
奉贤,13°C
崇明,12°C
徐汇,16°C
长宁,16°C
静安,16°C
普陀,16°C
虹口,16°C
杨浦,16°C
合肥,15°C
蚌埠,12°C
芜湖,14°C
淮南,13°C
马鞍山,14°C
安庆,14°C
宿州,10°C
阜阳,11°C
亳州,9°C
黄山,13°C
滁州,13°C
淮北,9°C
铜陵,14°C
宣城,14°C
六安,13°C
池州,14°C
南京,15°C
无锡,14°C
镇江,13°C
苏州,15°C
南通,13°C
扬州,14°C
盐城,13°C
徐州,12°C
淮安,12°C
连云港,11°C
常州,14°C
泰州,13°C
宿迁,12°C
济南,12°C
青岛,13°C
淄博,10°C
德州,10°C
烟台,10°C
潍坊,10°C
济宁,10°C
泰安,10°C
临沂,11°C
菏泽,11°C
滨州,9°C
东营,11°C
威海,11°C
枣庄,12°C
日照,10°C
莱芜,9°C
聊城,9°C
杭州,14°C
湖州,13°C
嘉兴,14°C
宁波,12°C
绍兴,14°C
台州,15°C
温州,14°C
丽水,13°C
金华,12°C
衢州,12°C
舟山,14°C
福州,15°C
厦门,16°C
宁德,15°C
莆田,16°C
泉州,17°C
漳州,17°C
龙岩,18°C
三明,15°C
南平,15°C
钓鱼岛,22°C
南昌,15°C
九江,14°C
上饶,13°C
抚州,13°C
宜春,14°C
吉安,14°C
赣州,15°C
景德镇,15°C
萍乡,15°C
新余,14°C
鹰潭,14°C
