城市,最低气温
成都,13°C
攀枝花,16°C
自贡,14°C
绵阳,14°C
南充,13°C
达州,14°C
遂宁,13°C
广安,14°C
巴中,11°C
泸州,14°C
宜宾,13°C
内江,13°C
资阳,13°C
乐山,14°C
眉山,14°C
凉山,13°C
雅安,13°C
甘孜,3°C
阿坝,2°C
德阳,13°C
广元,12°C
重庆,16°C
永川,15°C
合川,15°C
南川,14°C
江津,15°C
渝北,15°C
北碚,15°C
巴南,14°C
长寿,15°C
黔江,12°C
渝中,16°C
万州,15°C
涪陵,15°C
城口,10°C
云阳,15°C
巫溪,15°C
奉节,15°C
巫山,13°C
潼南,14°C
垫江,14°C
梁平,14°C
忠县,15°C
石柱,13°C
大足,14°C
荣昌,14°C
铜梁,15°C
璧山,16°C
丰都,15°C
武隆,14°C
彭水,14°C
綦江,15°C
酉阳,10°C
大渡口,16°C
秀山,11°C
江北,16°C
沙坪坝,16°C
九龙坡,16°C
南岸,16°C
开州,14°C
贵阳,11°C
遵义,11°C
安顺,10°C
黔南,10°C
黔东南,11°C
铜仁,12°C
毕节,8°C
六盘水,9°C
黔西南,13°C
昆明,12°C
大理,14°C
红河,20°C
曲靖,9°C
保山,16°C
文山,14°C
玉溪,14°C
楚雄,15°C
普洱,17°C
昭通,7°C
临沧,13°C
怒江,14°C
迪庆,7°C
丽江,12°C
德宏,20°C
西双版纳,22°C
拉萨,12°C
日喀则,8°C
山南,9°C
林芝,9°C
昌都,7°C
那曲,0°C
阿里,1°C
