handle_code,id,nickname,title,org_name,summary,time
B202211071152,2441995,先生,请问可以线上办理居住证吗,麻章区人民政府办公室,环境整治,1667375770
B20220930003,2411657,ZIWEI,学生奖学金权益,麻章区人民政府办公室,扫黑除恶,1664469422
B20220923949,2405919,安静,教师资格证和教师资格认定申请表都遗失了，怎么补办？,麻章区人民政府办公室,环境整治,1663921474
B20220929817,2404903,h,空气质量,麻章区人民政府办公室,环境整治,1663838550
B20220918050,2399722,梁同学,关于校服问题,麻章区人民政府办公室,环境整治,1663481849
B20220810578,2362150,BAOMEIBAOFU,数据,麻章区人民政府办公室,环境整治,1660113890
B20220725208,2322431,苏,年度报表,麻章区人民政府办公室,扶贫专栏,1656580202
B20220725197,2330598,老百姓,农村集体建设用地也可以作宅基地对吗？,麻章区人民政府办公室,建筑施工,1657270588
B202207211289,2342403,hhh,政府新媒体,麻章区人民政府办公室,环境整治,1658308119
B202206201071,2310969,小何,学龄儿童入学,麻章区人民政府办公室,扶贫专栏,1655713898
B20220510345,2265550,农民,请提供一份《湛江市特色民居图集》,麻章区人民政府办公室,建筑施工,1652151981
B20220415986,2239673,Ww,教师资格认定,麻章区人民政府办公室,环境整治,1650006469
B20220224142,2181148,民,村道建设,麻章区人民政府办公室,建筑施工,1645581585
B20220216782,2174259,吴,农村房屋面积确认,麻章区人民政府办公室,建筑施工,1644983707
B20220118935,2149418,豪仔,麻章区人口,麻章区人民政府办公室,扫黑除恶,1642067085
B20211220490,2117194,豪仔,麻章区经济,麻章区人民政府办公室,环境整治,1639720388
B20211026766,1078382,豪仔,麻章区玩乐,麻章区人民政府办公室,环境整治,1634801550
B20210902364,1041381,辉,小孩读书问题,麻章区人民政府办公室,环境整治,1630551579
B20210514248,945778,木子,学校错误，学生承担,麻章区人民政府办公室,环境整治,1620960218
B20210329857,916136,羊的天堂草,2017年东山街道、东简街道、民安街道常住人口,麻章区人民政府办公室,扶贫专栏,1617008114
B20210429566,930703,ZHENGWEIPENG,举报信箱号,麻章区人民政府办公室,环境整治,1619062492
B20200724650,765235,金生,麻章创文施工队将我家化粪池打烂后拒绝修复！,麻章区人民政府办公室,建筑施工,1595523726
B20200710526,757655,朱金丰,政府电话查询,麻章区人民政府办公室,扶贫专栏,1594373208
B20200630449,751280,777,申请公开华润置地桃源里预售备案价信息,麻章区人民政府办公室,建筑施工,1593503146
B20200401240,557167,坚韧如松,2020年农艺师职称申请要求,麻章区人民政府办公室,扶贫专栏,1585726965
B20200304033,538178,liu,农村宅基地建设占用公共巷道,麻章区人民政府办公室,建筑施工,1583283784
B20200107250,522046,黄先生,麻章区民乐中街22号三生三茶奶茶店深夜噪音扰民,麻章区人民政府办公室,环境整治,1576944590
B20200107260,522058,程女士,麻章区育才中路28号甜心宠物店斜对面有人施工扰民,麻章区人民政府办公室,建筑施工,1576910656
B20200107259,522057,李先生,麻章区瑞云北路鸿运幼儿园噪音扰民,麻章区人民政府办公室,环境整治,1576909722
B20200107251,522048,朱先生,麻章区金川路口长城网吧允许未成年人进入上网,麻章区人民政府办公室,环境整治,1576934377
B20200107258,522056,顾先生,麻章区海大路1号广东海洋大学教工宿舍楼22栋605房施工噪音扰民,麻章区人民政府办公室,建筑施工,1576912951
