城市名,Year,Month,AQI,Range,Air quality level,PM2.5,PM10,SO2,CO,NO2,O3
阿坝州,2017,01,42,34~50,优,14,26,11,0.655,14,84
阿坝州,2019,10,31,22~41,优,18,22,7,0.394,8,60
阿坝州,2021,03,49,38~88,优,17,28,12,0.439,10,94
阿坝州,2021,04,58,42~85,良,16,24,13,0.54,10,109
阿坝州,2021,05,48,32~70,优,15,24,14,0.335,10,93
阿坝州,2021,08,36,19~84,优,14,19,10,0.41,7,69
阿坝州,2021,09,35,20~52,优,14,20,11,0.367,8,69
阿坝州,2021,12,36,28~45,优,23,31,13,0.926,22,65
阿坝州,2022,01,42,31~58,优,15,22,15,0.777,14,82
阿坝州,2022,02,51,44~62,良,11,17,14,0.718,9,100
阿坝州,2022,05,52,26~75,良,10,18,12,0.594,10,98
阿坝州,2022,06,39,21~59,优,8,13,11,0.57,13,76
阿坝州,2022,09,29,18~43,优,7,9,2,0.37,5,57
阿坝州,2023,01,34,22~61,优,13,24,5,0.455,12,62
阿坝州,2023,04,54,50~57,良,12,16,4,0.45,10,104
阿坝州,2016,11,47,29~58,优,22,48,14,0.533,17,62
阿坝州,2017,03,63,48~82,良,15,30,7,0.487,8,115
阿坝州,2018,09,32,16~48,优,8,14,6,0.38,6,64
阿坝州,2018,10,31,0~41,优,9,14,6,0.345,8,62
阿坝州,2018,11,34,23~46,优,19,27,7,0.51,13,63
阿坝州,2018,12,37,32~52,优,25,36,8,0.7,18,60
阿坝州,2019,01,38,31~47,优,21,31,8,0.842,13,74
阿坝州,2019,07,42,25~84,优,12,19,10,0.242,6,81
阿坝州,2020,11,35,25~48,优,21,34,10,0.453,16,53
阿坝州,2020,12,38,29~49,优,26,36,13,0.658,17,55
阿坝州,2022,10,23,13~34,优,9,14,4,0.523,11,45
阿坝州,2017,02,47,41~57,优,14,27,7,0.529,7,94
阿坝州,2019,09,30,20~45,优,14,19,9,0.35,6,60
阿坝州,2014,12,53,53~53,良,33,55,3,1,23,69
阿坝州,2015,01,32,24~38,优,20,27,4,0.545,14,53
阿坝州,2015,02,32,23~53,优,16,30,9,0.311,9,52
阿坝州,2015,03,33,27~57,优,14,28,8,0.34,7,61
阿坝州,2015,04,40,33~53,优,16,34,7,0.437,7,76
阿坝州,2015,05,37,28~54,优,17,29,9,0.313,11,72
阿坝州,2015,06,35,21~49,优,22,28,11,0.39,9,58
阿坝州,2015,07,42,25~62,优,19,29,6,0.371,8,78
