job_name,position,diploma,company_name,company_size,company_type,salary
实验室检测员,上海,大专,济南好前程信息咨询服务有限公司,100-299人,民营,6千-8千
业务跟单/销售助理,上海,大专,上海道风信息科技有限公司,20人以下,民营,5千-8千
总部助理,上海,大专,广州市达生市场推广有限公司,1000-9999人,合资,7千-8千
紫竹科技产业园+15号线地铁口+置业顾问,上海,本科,德佑房地产经纪有限公司第一百六十五分公司,10000人以上,民营,1.3万-2万
销售助理文员,上海,大专,上海德田贸易有限公司,20人以下,民营,5千-8千
化妆品研发助理,上海,中专/中技,上海众和云网络科技有限公司,100-299人,民营,6千-8千
会计助理,上海,大专,上海骐杰碳素材料有限公司,20-99人,民营,5千-8千
行政助理（上海）,上海,大专,长城保险经纪有限公司,1000-9999人,民营,5千-8千
市场策划-期货业务（23届正式批） (MJ000732),上海,本科,上海东方财富期货有限公司,100-299人,民营,1.5万-2.5万
媒介专员,上海,本科,宝原广告(上海)有限公司,20人以下,民营,6千-1.2万
日语助理,上海,大专,上海迈伊兹会计师事务所有限公司,100-299人,民营,7千-1.2万
HR intern,上海,本科,南通欧洋水产有限公司,20-99人,外商独资,5千-8千
综合行政专员【上海浦东】五险一金双休,上海,大专,深圳万科祥盈管理服务有限公司,1000-9999人,上市公司,5千-6千
媒介专员 – Digital Executive,上海,本科,瀚与翼(上海)商务咨询有限公司,20-99人,外商独资,7千-9千
客服专员,上海,大专,上海浦东发展银行信用卡中心,1000-9999人,股份制企业,8千-1.6万
总经理业务秘书,上海,本科,上海众甫建筑工程咨询有限公司,100-299人,民营,8千-1.5万
市场专员,上海,本科,北京亚科晨旭科技有限公司,20-99人,民营,1万-2万
英文客服（五险一金/上二休二）,上海,大专,位来小猎(宁波)信息技术有限公司,100-299人,合资,8千-1.2万
教务助理+六险一金,上海,中专/中技,上海麦隽教育科技有限公司,100-299人,民营,6千-8千
会计助理,上海,大专,上海骐杰碳素材料有限公司,20-99人,民营,5千-8千
助理工程师/技术员,上海,本科,江苏丰山集团股份有限公司上海分公司,20-99人,上市公司,8千-1.4万
HR专员 人事专员 HR Specialist,上海,本科,上海安进投资管理有限公司,20-99人,民营,5千-9千
销售助理,上海,大专,八乐梦床业（中国）有限公司,100-299人,外商独资,6千-9千
商品专员,上海,大专,卢西诺(上海)电子商务有限公司,20人以下,外商独资,8千-1万
销售助理,上海,本科,企顾司企业管理顾问（上海）有限公司,20-99人,外商独资,8千-1.2万
资深运营-主管,上海,本科,上海百秋新网商数字科技有限公司,1000-9999人,上市公司,1万-1.6万
行政坐班 包食宿 打字客服,上海,大专,武汉易盛学信息科技有限公司,20-99人,民营,7千-1.4万
娱乐直播运营专员助理,上海,大专,上海扩乐网络科技有限公司,20-99人,,4千-8千
市场推广,上海,本科,北京钱袋宝支付技术有限公司上海分公司,10000人以上,上市公司,1万-1.3万
销售行政专员,上海,大专,上海仪能电机有限公司,20-99人,民营,5千-8千
数据专员助理,上海,大专,上海汇材电子商务有限公司,1000-9999人,民营,6千-8千
电商运营助理,上海,大专,九晓(上海)信息技术有限公司,20-99人,其它,5千-9千
采购专员-供应商管理方向（2023届校招）,上海,本科,上海紫途电子商务有限公司,10000人以上,民营,8千-1.2万
行政专员,上海,本科,科锐国际,1000-9999人,合资,6千-7千
运营支持专员,上海,大专,欣和企业,1000-9999人,外商独资,6千-8千
