楼盘名称,开发商名称,是否售空,销售单价,楼盘性质
银城青山湖畔,银城地产集团股份有限公司,在售,150-304万/套,住宅
申花印月,中锦联城控股有限公司,在售,100-305万/套,商业类
海悦中心,杭州海悦地产有限公司,在售,91-98万/套,商业类
嘉合未来金座,杭州嘉合置业有限公司,在售,110-120万/套,商业类
奥城望,莱茵达（桐庐）体育发展有限公司,在售,190万/套,住宅
德信金科泊岸江宸轩,杭州德信朝阳置业有限公司,在售,196-232万/套,住宅
绿地潮悦江山城,杭州绿港置业有限公司,在售,245-390万/套,住宅
云帆未来社区,杭州融帆建设发展有限公司,待售,价格待定,写字楼
世京云峯,杭州之江城银房地产开发有限公司,在售,145万/套,商业类
半山林畔商务中心,杭州半山半岛置业有限公司,在售,1500万/套,商业类
众安IOC潮悦公馆（杭州国际办公中心）,恒利企业管理（杭州）有限公司,在售,274-2000万/套,商业类
荣上青云府,杭州荣上房地产有限公司,在售,115-125万/套,住宅
铂瑞悦府,杭州龙合实业有限公司,待售,价格待定,底商
新力启云府,杭州力尚房地产开发有限公司,待售,180-312万/套,住宅
碧桂园招商珺悦家园,杭州元玺置业有限公司,在售,125-200万/套,住宅
香里湾,杭州圣域嘉房地产开发有限公司,在售,74-128万/套,住宅
杭房首望澜翠府,杭州翠祥房地产有限公司,在售,320-800万/套,别墅
蓝城恒伟江南山庄,浙江恒伟房地产开发有限公司,在售,125-212万/套,住宅
奥城望,莱茵达（桐庐）体育发展有限公司,在售,价格待定,别墅
金宸金座,杭州德至丰商业发展有限公司,在售,75-95万/套,商业类
保亿风景晨园,保亿置业（杭州余杭）有限公司,待售,价格待定,商业
滨江德信东方星城,杭州滨润房地产开发有限公司,待售,价格待定,商业
大家运河之星,杭州丽水湾置业有限公司,待售,价格待定,商业
东海闲湖城,杭州东海春房地产开发有限公司,待售,190-288万/套,住宅
空港新天地,杭州德意空港商业发展有限公司,待售,价格待定,商业
宋都香悦郡,杭州香悦郡置业有限公司,待售,价格待定,商业
景瑞御华府,杭州景航置业有限公司,待售,价格待定,商业
恒基旭辉府,杭州旭开置业有限公司,待售,价格待定,商业
万科中央公园,杭州万旭置业有限公司,待售,价格待定,商业
中国铁建保利像素,杭州建申房地产开发有限公司,待售,价格待定,商业
钱塘ONE,杭州汇辉置业有限公司,在售,110-520万/套,商业类
卓越蔚蓝领秀一期,杭州卓越城置业有限公司,待售,价格待定,商业
保利梧桐语,杭州保利建锦房地产开发有限公司,待售,价格待定,商业
万泰城章,杭州万凯置业有限公司,待售,价格待定,商业
相寓,杭州塘栖大厦有限公司,待售,价格待定,商业
万科大家九都会,杭州万科大家房地产开发有限公司,待售,价格待定,商业
富阳宝龙城市广场,富阳宝龙房地产开发有限公司,待售,价格待定,商业
大家悦墅,杭州市城建开发集团有限公司,待售,价格待定,商业
理想西溪金座,杭州天畅网络科技有限公司,待售,价格待定,商业
阳光城翡丽湾,杭州臻博房地产开发有限公司,待售,价格待定,商业
宝嘉誉峰,杭州宝嘉房地产开发有限公司,待售,价格待定,商业
东方茂,浙商建业有限公司杭州分公司,待售,价格待定,商业
锦润公寓,浙江信宇房地产开发有限公司,待售,价格待定,商业
钱江西溪和景,杭州和景置业有限公司,待售,价格待定,商业
华盛达阅城,杭州华盛达房地产开发有限公司,待售,价格待定,商业
长睦邻里人家东苑,杭州华元房地产开发有限公司,待售,价格待定,商业
时间名座玺寓,杭州加悦都实业有限公司,在售,80-120万/套,商业类
富春印象金座,杭州富阳富凯房地产开发有限公司,待售,价格待定,商业
景瑞申花郡,杭州嘉恒房地产开发有限公司,待售,价格待定,底商
萧山新农都农贸市场,杭州信融置业有限公司,待售,价格待定,商业
鼎和金座,杭州禹禾房地产开发有限公司,在售,90-100万/套,商业类
公元帝景,杭州帝凯房地产开发有限公司,在售,713-966万/套,别墅
首开望宸,杭州首开旭泰房地产开发有限公司,待售,价格待定,商业
易辰江南大院,杭州易辰房地产开发有限公司,在售,410-760万/套,别墅
文渊狮城,杭州千岛湖新天地文化发展有限公司,在售,503-650万/套,别墅
锦绣时代中心,杭州金顺实业投资开发有限公司,待售,价格待定,商业
运河印,浙江万融置业有限公司,在售,115-320万/套,商业类
绿地商业中心,绿地控股集团杭州东城房地产开发有限公司,在售,140-420万/套,商业类
迎宾商城,杭州富阳东贸置业有限公司,待售,价格待定,商业
招商越秀公园1872,招商局地产（杭州）有限公司,在售,200万/套,商业
春江山居,杭州爱丽娜房地产开发有限公司,在售,72-119万/套,住宅
禹洲滨澜铭座,中维地产浙江有限公司,在售,125-162万/套,商业类
金马高悦府,桐庐桐鑫房地产开发有限公司,在售,175万/套,住宅
柳溪湾,杭州临安佳伟房地产开发有限公司,在售,40-118万/套,住宅
朗诗溪涧雅庐,杭州临安朗茂置业有限公司,在售,120-168万/套,住宅
春江山居,杭州爱丽娜房地产开发有限公司,在售,450万/套,别墅
运河万科中心,杭州祥瑞汽车产业园开发有限公司,在售,700万/套,写字楼
中城汇MIDTOWN,杭州万璟置业有限公司,在售,122-140万/套,商业类
紫荆辰光,杭州成禾房地产开发有限公司,在售,187-310万/套,商业类
绿城青亭,杭州望云房地产开发有限公司,在售,130万/套,商业类
中冶锦绣公馆,杭州中冶名锦房地产开发有限公司,待售,价格待定,住宅
中冶锦绣公馆,杭州中冶名锦房地产开发有限公司,在售,650-1700万/套,商业类
恒大御泉四季,杭州盛建置业有限公司,在售,40-88万/套,住宅
紫荆辰光,杭州成禾房地产开发有限公司,在售,181万/套,商业
悦湖湾花园,杭州千岛湖浙远房地产开发有限公司,在售,160-180万/套,住宅
杭州富力中心,杭州富力房地产开发有限公司,待售,价格待定,写字楼
竹悦山水轩,临安云海置业有限公司,在售,70-106万/套,住宅
钱塘ONE,杭州汇辉置业有限公司,在售,140万/套,底商
云安小镇,杭州青山湖森林硅谷开发有限公司,在售,80-205万/套,商业类
嘉裕天城,杭州远邦房地产开发有限公司,在售,173-270万/套,住宅
梦溪东明山居,杭州梦溪房地产开发有限公司,在售,1077-1098万/套,别墅
富春玫瑰园,杭州华滋绿城房地产有限公司,在售,1248万/套,别墅
龙湖名景台一期,杭州龙湖房地产开发有限公司,待售,价格待定,底商
高润云杉郡,杭州高润置业有限公司,待售,价格待定,商业
华元西溪欢乐城,杭州欢乐城投资有限公司,待售,价格待定,商业
天阳尚景国际二期,杭州天阳申花置业有限公司,待售,价格待定,商业
富越香郡,浙江富越房地产集团有限公司,待售,价格待定,底商
招商雍华府,招商局地产（杭州）有限公司,待售,价格待定,商业
玺之湾,杭州昆湖房地产开发有限公司,待售,价格待定,商业
中海寰宇商务中心,杭州世茂世盈房地产开发有限公司,待售,价格待定,商业
世茂之西湖,杭州世融汇盈置业有限公司,待售,价格待定,商业
万科北宸之光三期拱宸,杭州万通杭昀置业有限公司,待售,价格待定,商业
远洋香奈,杭州远鼎盛安置业有限公司,待售,价格待定,商业
青山湖玫瑰园,临安西子房地产开发有限公司,在售,624-774万/套,别墅
雍荣华庭,杭州筑家房地产开发有限公司,待售,价格待定,商业
天阳尚景国际,杭州天阳申花置业有限公司,待售,价格待定,商业
新城红郡,杭州嘉浩房地产开发有限公司,待售,价格待定,商业
佳源名城,杭州崇源房地产开发有限公司,待售,价格待定,商业
浅山,淳安怡和置业有限公司,在售,98-190万/套,住宅
泰美国际大厦,杭州九阳置业有限公司,在售,价格待定,商业
中赢云际,杭州中赢华倬置业有限公司,待售,价格待定,写字楼
宋都时间名座,杭州加悦都实业有限公司,在售,2800万/套,商业
万科北宸之光,杭州万泓置业有限公司,待售,价格待定,商业
西溪永乐城,杭州鑫瑞置业有限公司,待售,价格待定,商业
春意江南名邸,杭州祥强房地产开发有限公司,在售,170-210万/套,住宅
